ID	Species.x	Petal.Length	Petal.Width	Sepal.Length	Sepal.Width
ID_20	setosa	1.5	0.3	5.1	3.8
ID_21	setosa	1.7	0.2	5.4	3.4
ID_22	setosa	1.5	0.4	5.1	3.7
ID_23	setosa	1	0.2	4.6	3.6
ID_24	setosa	1.7	0.5	5.1	3.3
ID_25	setosa	1.9	0.2	4.8	3.4
ID_26	setosa	1.6	0.2	5	3
ID_27	setosa	1.6	0.4	5	3.4
ID_28	setosa	1.5	0.2	5.2	3.5
ID_29	setosa	1.4	0.2	5.2	3.4
ID_3	setosa	1.3	0.2	4.7	3.2
ID_30	setosa	1.6	0.2	4.7	3.2
ID_31	setosa	1.6	0.2	4.8	3.1
ID_32	setosa	1.5	0.4	5.4	3.4
ID_33	setosa	1.5	0.1	5.2	4.1
ID_34	setosa	1.4	0.2	5.5	4.2
ID_35	setosa	1.5	0.2	4.9	3.1
ID_36	setosa	1.2	0.2	5	3.2
ID_37	setosa	1.3	0.2	5.5	3.5
ID_38	setosa	1.4	0.1	4.9	3.6
ID_39	setosa	1.3	0.2	4.4	3
ID_4	setosa	1.5	0.2	4.6	3.1
ID_40	setosa	1.5	0.2	5.1	3.4
ID_41	setosa	1.3	0.3	5	3.5
ID_42	setosa	1.3	0.3	4.5	2.3
ID_43	setosa	1.3	0.2	4.4	3.2
ID_44	setosa	1.6	0.6	5	3.5
ID_45	setosa	1.9	0.4	5.1	3.8
ID_46	setosa	1.4	0.3	4.8	3
ID_47	setosa	1.6	0.2	5.1	3.8
ID_48	setosa	1.4	0.2	4.6	3.2
ID_49	setosa	1.5	0.2	5.3	3.7
ID_5	setosa	1.4	0.2	5	3.6
ID_50	setosa	1.4	0.2	5	3.3
ID_51	versicolor	4.7	1.4	7	3.2
ID_52	versicolor	4.5	1.5	6.4	3.2
ID_53	versicolor	4.9	1.5	6.9	3.1
ID_54	versicolor	4	1.3	5.5	2.3
ID_55	versicolor	4.6	1.5	6.5	2.8
ID_56	versicolor	4.5	1.3	5.7	2.8
ID_57	versicolor	4.7	1.6	6.3	3.3
ID_58	versicolor	3.3	1	4.9	2.4
ID_59	versicolor	4.6	1.3	6.6	2.9
ID_6	setosa	1.7	0.4	5.4	3.9
ID_60	versicolor	3.9	1.4	5.2	2.7
ID_61	versicolor	3.5	1	5	2
ID_62	versicolor	4.2	1.5	5.9	3
ID_63	versicolor	4	1	6	2.2
ID_64	versicolor	4.7	1.4	6.1	2.9
ID_65	versicolor	3.6	1.3	5.6	2.9
ID_66	versicolor	4.4	1.4	6.7	3.1
ID_67	versicolor	4.5	1.5	5.6	3
ID_68	versicolor	4.1	1	5.8	2.7
ID_69	versicolor	4.5	1.5	6.2	2.2
ID_7	setosa	1.4	0.3	4.6	3.4
ID_70	versicolor	3.9	1.1	5.6	2.5
ID_71	versicolor	4.8	1.8	5.9	3.2
ID_72	versicolor	4	1.3	6.1	2.8
ID_73	versicolor	4.9	1.5	6.3	2.5
ID_74	versicolor	4.7	1.2	6.1	2.8
ID_75	versicolor	4.3	1.3	6.4	2.9
ID_76	versicolor	4.4	1.4	6.6	3
ID_77	versicolor	4.8	1.4	6.8	2.8
ID_78	versicolor	5	1.7	6.7	3
ID_79	versicolor	4.5	1.5	6	2.9
ID_8	setosa	1.5	0.2	5	3.4
ID_80	versicolor	3.5	1	5.7	2.6
ID_81	versicolor	3.8	1.1	5.5	2.4
ID_82	versicolor	3.7	1	5.5	2.4
ID_83	versicolor	3.9	1.2	5.8	2.7
ID_84	versicolor	5.1	1.6	6	2.7
ID_85	versicolor	4.5	1.5	5.4	3
ID_86	versicolor	4.5	1.6	6	3.4
ID_87	versicolor	4.7	1.5	6.7	3.1
ID_88	versicolor	4.4	1.3	6.3	2.3
ID_89	versicolor	4.1	1.3	5.6	3
ID_9	setosa	1.4	0.2	4.4	2.9
ID_90	versicolor	4	1.3	5.5	2.5
ID_91	versicolor	4.4	1.2	5.5	2.6
ID_92	versicolor	4.6	1.4	6.1	3
ID_93	versicolor	4	1.2	5.8	2.6
ID_94	versicolor	3.3	1	5	2.3
ID_95	versicolor	4.2	1.3	5.6	2.7
ID_96	versicolor	4.2	1.2	5.7	3
ID_97	versicolor	4.2	1.3	5.7	2.9
ID_98	versicolor	4.3	1.3	6.2	2.9
ID_99	versicolor	3	1.1	5.1	2.5
